https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD011293.pub3/full| Allergy & intolerance | Sublingual immunotherapy for asthma | Rebecca Fortescue, Kayleigh M Kew, Marco Shiu Tsun Leung | 14 September 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD008829.pub3/full | Dentistry & oral health | Flossing for the management of periodontal diseases and dental caries in adults | Dario Sambunjak, Jason W Nickerson, Tina Poklepovic Pericic, Trevor M Johnson, Pauline Imai, Peter Tugwell, Helen V Worthington | 23 April 2019

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD011385.pub3/full | Dentistry & oral health | Antifibrinolytic therapy for preventing oral bleeding in patients with haemophilia or Von Willebrand disease undergoing minor oral surgery or dental extractions | Karin PM van Galen, Eveline T Engelen, Evelien P Mauser‐Bunschoten, Robert JJ van Es, Roger EG Schutgens | 19 April 2019

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD012018.pub2/full | Dentistry & oral health | Home use of interdental cleaning devices, in addition to toothbrushing, for preventing and controlling periodontal diseases and dental caries | Helen V Worthington, Laura MacDonald, Tina Poklepovic Pericic, Dario Sambunjak, Trevor M Johnson, Pauline Imai, Janet E Clarkson | 10 April 2019

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD012875.pub2/full | Developmental, psychosocial & learning problems | Effects of oral vitamin D supplementation on linear growth and other health outcomes among children under five years of age | Samantha L Huey, Nina Acharya, Ashley Silver, Risha Sheni, Elaine A Yu, Juan Pablo Peña-Rosas, Saurabh Mehta | 8 December 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD013114.pub2/full | Developmental, psychosocial & learning problems | Mechanically assisted walking training for walking, participation, and quality of life in children with cerebral palsy | Hsiu-Ching Chiu, Louise Ada, Theofani A Bania | 18 November 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD006047.pub6/full | Developmental, psychosocial & learning problems | Household interventions for secondary prevention of domestic lead exposure in children | Barbara Nussbaumer-Streit, Verena Mayr, Andreea Iulia Dobrescu, Gernot Wagner, Andrea Chapman, Lisa M Pfadenhauer, Szimonetta Lohner, Stefan K Lhachimi, Laura K Busert, Gerald Gartlehner | 6 October 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD007667.pub3/full | Developmental, psychosocial & learning problems | Pharmacological interventions for antisocial personality disorder | Najat R Khalifa, Simon Gibbon, Birgit A Völlm, Natalie H-Y Cheung, Lucy McCarthy | 3 September 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD007668.pub3/full | Developmental, psychosocial & learning problems | Psychological interventions for antisocial personality disorder | Simon Gibbon, Najat R Khalifa, Natalie H-Y Cheung, Birgit A Völlm, Lucy McCarthy | 3 September 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD013684/full | Developmental, psychosocial & learning problems | Psychological interventions to foster resilience in healthcare students | Angela M Kunzler, Isabella Helmreich, Jochem König, Andrea Chmitorz, Michèle Wessa, Harald Binder, Klaus Lieb | 20 July 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD012527.pub2/full | Developmental, psychosocial & learning problems | Psychological interventions to foster resilience in healthcare professionals | Angela M Kunzler, Isabella Helmreich, Andrea Chmitorz, Jochem König, Harald Binder, Michèle Wessa, Klaus Lieb | 5 July 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD009829.pub2/full | Developmental, psychosocial & learning problems | Cognitive‐behavioural therapy (CBT) interventions for young people aged 10 to 18 with harmful sexual behaviour | Helga Sneddon, Dina Gojkovic Grimshaw, Nuala Livingstone, Geraldine Macdonald | 23 June 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD012955.pub2/full | Developmental, psychosocial & learning problems | Psychological therapies for people with borderline personality disorder | Ole Jakob Storebø, Jutta M Stoffers-Winterling, Birgit A Völlm, Mickey T Kongerslev, Jessica T Mattivi, Mie S Jørgensen, Erlend Faltinsen, Adnan Todorovac, Christian P Sales, Henriette E Callesen, Klaus Lieb, Erik Simonsen | 4 May 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD012566.pub2/full | Developmental, psychosocial & learning problems | Rinse‐free hand wash for reducing absenteeism among preschool and school children | Zachary Munn, Catalin Tufanaru, Craig Lockwood, Cindy Stern, Helen McAneney, Timothy H Barker | 9 April 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD008959.pub3/full | Developmental, psychosocial & learning problems | Home fortification of foods with multiple micronutrient powders for health and nutrition in children under two years of age | Parminder S Suchdev, Maria Elena D Jefferds, Erika Ota, Katharina da Silva Lopes, Luz Maria De‐Regil | 28 February 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD012547.pub2/full | Developmental, psychosocial & learning problems | Caregiver involvement in interventions for improving children's dietary intake and physical activity behaviors | Emily H Morgan, Anel Schoonees, Urshila Sriram, Marlyn Faure, Rebecca A Seguin‐Fowler | 5 January 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD011780.pub2/full | Developmental, psychosocial & learning problems | Equivalent schedules of intradermal fractional dose versus intramuscular full dose of inactivated polio vaccine for prevention of poliomyelitis | Nishant Jaiswal, Shreya Singh, Amit Agarwal, Anil Chauhan, Kiran K Thumburu, Harpreet Kaur, Meenu Singh | 19 December 2019

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD011359.pub2/full | Developmental, psychosocial & learning problems | Beginning reading interventions for children and adolescents with intellectual disability | Brian Reichow, Christopher J Lemons, Daniel M Maggin, David R Hill | 5 December 2019

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD011260.pub2/full | Developmental, psychosocial & learning problems | Sequential inactivated (IPV) and live oral (OPV) poliovirus vaccines for preventing poliomyelitis | Agustín Ciapponi, Ariel Bardach, Lucila Rey Ares, Demián Glujovsky, María Luisa Cafferata, Silvana Cesaroni, Aikant Bhatti | 5 December 2019

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD012459.pub2/full | Developmental, psychosocial & learning problems | Parent training programmes for managing infantile colic | Morris Gordon, Jesal Gohil, Shel SC Banks | 3 December 2019

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD012348.pub2/full | Developmental, psychosocial & learning problems | Video feedback for parental sensitivity and attachment security in children under five years | Leeanne O'Hara, Emily R Smith, Jane Barlow, Nuala Livingstone, Nadeeja INS Herath, Yinghui Wei, Thees Frerich Spreckelsen, Geraldine Macdonald | 29 November 2019

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD001408.pub2/full | Developmental, psychosocial & learning problems | Botulinum toxin type A in the treatment of lower limb spasticity in children with cerebral palsy | Francesco C Blumetti, João Carlos Belloti, Marcel JS Tamaoki, José A Pinto | 8 October 2019

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD012760.pub2/full | Developmental, psychosocial & learning problems | Families and Schools Together (FAST) for improving outcomes for children and their families | Jeffrey C Valentine, Stephen M Leach, Allison P Fowler, Diana K Stojda, Geraldine Macdonald | 31 July 2019

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD013067.pub2/full | Developmental, psychosocial & learning problems | Speech and language therapy for management of chronic cough | Claire Slinger, Syed B Mehdi, Stephen J Milan, Steven Dodd, Jessica Matthews, Aashish Vyas, Paul A Marsden | 23 July 2019

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD013135.pub2/full | Developmental, psychosocial & learning problems | A realist review of which advocacy interventions work for which abused women under what circumstances | Carol Rivas, Carol Vigurs, Jacqui Cameron, Lucia Yeo | 29 June 2019

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD008223.pub3/full | Developmental, psychosocial & learning problems | Social skills training for attention deficit hyperactivity disorder (ADHD) in children aged 5 to 18 years | Ole Jakob Storebø, Mette Elmose Andersen, Maria Skoog, Signe Joost Hansen, Erik Simonsen, Nadia Pedersen, Britta Tendal, Henriette E. Callesen, Erlend Faltinsen, Christian Gluud | 21 June 2019

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD011695.pub2/full | Developmental, psychosocial & learning problems | Nutritional interventions for preventing stunting in children (birth to 59 months) living in urban slums in low‐ and middle‐income countries (LMIC) | Sophie M Goudet, Barry A Bogin, Nyovani J Madise, Paula L Griffiths | 17 June 2019

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD012625.pub2/full | Developmental, psychosocial & learning problems | Interventions for improving sleep quality in people with chronic kidney disease | Patrizia Natale, Marinella Ruospo, Valeria M Saglimbene, Suetonia C Palmer, Giovanni FM Strippoli | 26 May 2019

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD009000.pub3/full | Developmental, psychosocial & learning problems | Ready‐to‐use therapeutic food (RUTF) for home‐based nutritional rehabilitation of severe acute malnutrition in children from six months to five years of age | Anel Schoonees, Martani J Lombard, Alfred Musekiwa, Etienne Nel, Jimmy Volmink | 15 May 2019

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD013218.pub2/full | Diagnosis | Rapid diagnostic tests for <i>Plasmodium vivax</i> malaria in endemic countries | Ridhi Agarwal, Leslie Choi, Samuel Johnson, Yemisi Takwoingi | 4 November 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD009185.pub3/full | Diagnosis | Procalcitonin, C‐reactive protein, and erythrocyte sedimentation rate for the diagnosis of acute pyelonephritis in children | Kai J Shaikh, Victor A Osio, Mariska MG Leeflang, Nader Shaikh | 10 September 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD013359.pub2/full | Diagnosis | Xpert MTB/RIF and Xpert MTB/RIF Ultra assays for active tuberculosis and rifampicin resistance in children | Alexander W Kay, Lucia González Fernández, Yemisi Takwoingi, Michael Eisenhut, Anne K Detjen, Karen R Steingart, Anna M Mandalakas | 27 August 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD013705/full | Diagnosis | Rapid, point‐of‐care antigen and molecular‐based tests for diagnosis of SARS‐CoV‐2 infection | Jacqueline Dinnes, Jonathan J Deeks, Ada Adriano, Sarah Berhane, Clare Davenport, Sabine Dittrich, Devy Emperador, Yemisi Takwoingi, Jane Cunningham, Sophie Beese, Janine Dretzke, Lavinia Ferrante di Ruffano, Isobel M Harris, Malcolm J Price, Sian Taylor-Phillips, Lotty Hooft, Mariska MG Leeflang, René Spijker, Ann Van den Bruel, Cochrane COVID-19 Diagnostic Test Accuracy Group | 26 August 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD013031.pub2/full | Diagnosis | Chest ultrasonography versus supine chest radiography for diagnosis of pneumothorax in trauma patients in the emergency department | Kenneth K Chan, Daniel A Joo, Andrew D McRae, Yemisi Takwoingi, Zahra A Premji, Eddy Lang, Abel Wakai | 23 July 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD009833.pub2/full | Diagnosis | (1→3)‐β‐D‐glucan testing for the detection of invasive fungal infections in immunocompromised or critically ill people | Sandra K White, Robert L Schmidt, Brandon S Walker, Kimberly E Hanson | 21 July 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD013665/full | Diagnosis | Signs and symptoms to determine if a patient presenting in primary care or hospital outpatient settings has COVID‐19 disease | Thomas Struyf, Jonathan J Deeks, Jacqueline Dinnes, Yemisi Takwoingi, Clare Davenport, Mariska MG Leeflang, René Spijker, Lotty Hooft, Devy Emperador, Sabine Dittrich, Julie Domen, Sebastiaan R A Horn, Ann Van den Bruel, Cochrane COVID-19 Diagnostic Test Accuracy Group | 7 July 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD013459.pub2/full | Diagnosis | Rapid diagnostic tests for plague | Sophie Jullien, Harsha A Dissanayake, Marty Chaplin | 26 June 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD013652/full | Diagnosis | Antibody tests for identification of current and past infection with SARS‐CoV‐2 | Jonathan J Deeks, Jacqueline Dinnes, Yemisi Takwoingi, Clare Davenport, René Spijker, Sian Taylor-Phillips, Ada Adriano, Sophie Beese, Janine Dretzke, Lavinia Ferrante di Ruffano, Isobel M Harris, Malcolm J Price, Sabine Dittrich, Devy Emperador, Lotty Hooft, Mariska MG Leeflang, Ann Van den Bruel, Cochrane COVID-19 Diagnostic Test Accuracy Group | 25 June 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD012824.pub2/full | Diagnosis | Diagnostic test accuracy of jolt accentuation for headache in acute meningitis in the emergency setting | Masahiro Iguchi, Yoshinori Noguchi, Shungo Yamamoto, Yuu Tanaka, Hiraku Tsujimoto | 11 June 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD012947.pub2/full | Diagnosis | Non‐contact tests for identifying people at risk of primary angle closure glaucoma | Anish Jindal, Irene Ctori, Gianni Virgili, Ersilia Lucenteforte, John G Lawrenson | 29 May 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD010159.pub2/full | Diagnosis | Calcitonin testing for detection of medullary thyroid cancer in people with thyroid nodules | Hans HG Verbeek, Jan Willem B de Groot, Wim J Sluiter, Anneke C Muller Kobold, Edwin R van den Heuvel, John TM Plukker, Thera P Links | 16 March 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD009628.pub2/full | Diagnosis | Structural magnetic resonance imaging for the early diagnosis of dementia due to Alzheimer's disease in people with mild cognitive impairment | Gemma Lombardi, Giada Crescioli, Enrica Cavedo, Ersilia Lucenteforte, Giovanni Casazza, Alessandro‐Giacco Bellatorre, Chiara Lista, Giorgio Costantino, Giovanni Frisoni, Gianni Virgili, Graziella Filippini | 2 March 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD010722.pub2/full | Diagnosis | Transcranial Doppler sonography for detecting stenosis or occlusion of intracranial arteries in people with acute ischaemic stroke | Alessia Mattioni, Silvia Cenciarelli, Paolo Eusebi, Miriam Brazzelli, Tatiana Mazzoli, Massimo Del Sette, Carlo Gandolfo, Marinella Marinoni, Cinzia Finocchi, Valentina Saia, Stefano Ricci | 19 February 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD011708.pub2/full | Diagnosis | Rapid point of care test for detecting urogenital <i>Chlamydia trachomatis</i> infection in nonpregnant women and men at reproductive age | Carlos F. Grillo‐Ardila, Marcela Torres, Hernando G Gaitán | 29 January 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD013282.pub2/full | Diagnosis | Addenbrooke’s Cognitive Examination III (ACE‐III) and mini‐ACE for the detection of dementia and mild cognitive impairment | Lucy C Beishon, Angus P Batterham, Terry J Quinn, Christopher P Nelson, Ronney B Panerai, Thompson Robinson, Victoria J Haunton | 17 December 2019

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD012267.pub2/full | Diagnosis | Biomarkers for diagnosis of Wilson's disease | Aidan Ryan, Sarah J Nevitt, Orla Tuohy, Paul Cook | 19 November 2019

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD009977.pub2/full | Diagnosis | Computed tomography for diagnosis of acute appendicitis in adults | Bo Rud, Thomas S Vejborg, Eli D Rappeport, Johannes B Reitsma, Peer Wille‐Jørgensen | 19 November 2019

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD011420.pub3/full | Diagnosis | Lateral flow urine lipoarabinomannan assay for detecting active tuberculosis in people living with HIV | Stephanie Bjerrum, Ian Schiller, Nandini Dendukuri, Mikashmi Kohli, Ruvandhi R Nathavitharana, Alice A Zwerling, Claudia M Denkinger, Karen R Steingart, Maunank Shah | 21 October 2019

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD012777.pub2/full | Diagnosis | Abdominal ultrasound for diagnosing abdominal tuberculosis or disseminated tuberculosis with abdominal involvement in HIV‐positive individuals | Daniel J Van Hoving, Rulan Griesel, Graeme Meintjes, Yemisi Takwoingi, Gary Maartens, Eleanor A Ochodo | 30 September 2019

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD011414.pub2/full | Diagnosis | Mini‐Cog for the diagnosis of Alzheimer’s disease dementia and other dementias within a secondary care setting | Calvin CH Chan, Bruce A Fage, Jennifer K Burton, Nadja Smailagic, Sudeep S Gill, Nathan Herrmann, Vasilis Nikolaou, Terry J Quinn, Anna H Noel‐Storr, Dallas P Seitz | 14 September 2019

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD009551.pub4/full | Diagnosis | Polymerase chain reaction blood tests for the diagnosis of invasive aspergillosis in immunocompromised people | Mario Cruciani, Carlo Mengoli, Rosemary Barnes, J Peter Donnelly, Juergen Loeffler, Brian L Jones, Lena Klingspor, Johan Maertens, Charles O Morton, Lewis P White | 3 September 2019

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD012546.pub2/full | Diagnosis | Total serum bile acids or serum bile acid profile, or both, for the diagnosis of intrahepatic cholestasis of pregnancy | Cristina Manzotti, Giovanni Casazza, Tea Stimac, Dimitrinka Nikolova, Christian Gluud | 5 July 2019

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD012806.pub2/full | Diagnosis | Ultrasound, CT, MRI, or PET‐CT for staging and re‐staging of adults with cutaneous melanoma | Jacqueline Dinnes, Lavinia Ferrante di Ruffano, Yemisi Takwoingi, Seau Tak Cheung, Paul Nathan, Rubeta N Matin, Naomi Chuchu, Sue Ann Chan, Alana Durack, Susan E Bayliss, Abha Gulati, Lopa Patel, Clare Davenport, Kathie Godfrey, Manil Subesinghe, Zoe Traill, Jonathan J Deeks, Hywel C Williams, Cochrane Skin Cancer Diagnostic Test Accuracy Group | 1 July 2019

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD009593.pub4/full | Diagnosis | Xpert MTB/RIF and Xpert MTB/RIF Ultra for pulmonary tuberculosis and rifampicin resistance in adults | David J Horne, Mikashmi Kohli, Jerry S Zifodya, Ian Schiller, Nandini Dendukuri, Deanna Tollefson, Samuel G Schumacher, Eleanor A Ochodo, Madhukar Pai, Karen R Steingart | 7 June 2019

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD001480.pub6/full | Ear, nose & throat | Pneumococcal conjugate vaccines for preventing acute otitis media in children | Joline LH Sévaux, Roderick P Venekamp, Vittoria Lutje, Eelko Hak, Anne GM Schilder, Elisabeth AM Sanders, Roger AMJ Damoiseaux | 24 November 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD013057.pub2/full | Ear, nose & throat | Aural toilet (ear cleaning) for chronic suppurative otitis media | Mahmood F Bhutta, Karen Head, Lee-Yee Chong, Jessica Daw, Anne GM Schilder, Martin J Burton, Christopher G Brennan-Jones | 14 September 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD013054.pub2/full | Ear, nose & throat | Topical antibiotics with steroids for chronic suppurative otitis media | Christopher G Brennan-Jones, Lee-Yee Chong, Karen Head, Martin J Burton, Anne GM Schilder, Mahmood F Bhutta | 27 August 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD012431.pub2/full | Ear, nose & throat | Efficacy and safety of rapid tests to guide antibiotic prescriptions for sore throat | Jérémie F Cohen, Jean-Yves Pauchard, Nils Hjelm, Robert Cohen, Martin Chalumeau | 4 June 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD008268.pub3/full | Ear, nose & throat | Corticosteroids as standalone or add‐on treatment for sore throat | Simone Cassan, Matthew J Thompson, Rafael Perera, Paul P Glasziou, Chris B Del Mar, Carl J Heneghan, Gail Hayward | 1 May 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD013513.pub2/full | Ear, nose & throat | Biologics for chronic rhinosinusitis | Lee‐Yee Chong, Patorn Piromchai, Steve Sharp, Kornkiat Snidvongs, Carl Philpott, Claire Hopkins, Martin J Burton | 27 February 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD010885.pub5/full | Ear, nose & throat | Different infusion durations for preventing platinum‐induced hearing loss in children with cancer | Jorrit W van As, Henk van den Berg, Elvira C van Dalen | 21 January 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD012614.pub2/full | Ear, nose & throat | Cognitive behavioural therapy for tinnitus | Thomas Fuller, Rilana Cima, Berthold Langguth, Birgit Mazurek, Johan WS Vlaeyen, Derek J Hoare | 8 January 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD013055.pub2/full | Ear, nose & throat | Topical antiseptics for chronic suppurative otitis media | Karen Head, Lee‐Yee Chong, Mahmood F Bhutta, Peter S Morris, Shyan Vijayasekaran, Martin J Burton, Anne GM Schilder, Christopher G Brennan‐Jones | 6 January 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD013056.pub2/full | Ear, nose & throat | Antibiotics versus topical antiseptics for chronic suppurative otitis media | Karen Head, Lee-Yee Chong, Mahmood F Bhutta, Peter S Morris, Shyan Vijayasekaran, Martin J Burton, Anne GM Schilder, Christopher G Brennan-Jones | 5 January 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD013051.pub2/full | Ear, nose & throat | Topical antibiotics for chronic suppurative otitis media | Christopher G Brennan‐Jones, Karen Head, Lee‐Yee Chong, Martin J Burton, Anne GM Schilder, Mahmood F Bhutta | 2 January 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD008669.pub3/full | Ear, nose & throat | Tonsillectomy for periodic fever, aphthous stomatitis, pharyngitis and cervical adenitis syndrome (PFAPA) | Martin J Burton, Andrew J Pollard, James D Ramsden, Lee‐Yee Chong, Roderick P Venekamp | 30 December 2019

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD010592.pub2/full | Ear, nose & throat | Intranasal corticosteroids for non‐allergic rhinitis | Christine Segboer, Artur Gevorgyan, Klementina Avdeeva, Supinda Chusakul, Jesada Kanjanaumporn, Songklot Aeumjaturapat, Laurens F Reeskamp, Kornkiat Snidvongs, Wytske Fokkens | 2 November 2019

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD012979.pub2/full | Ear, nose & throat | Medical interventions for chronic rhinosinusitis in cystic fibrosis | Tulasi Kota Karanth, Veena Kota Laxminarayan KL Karanth, Bryan K Ward, Bradford A Woodworth, Laxminarayan Karanth | 23 October 2019

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD012323.pub2/full | Ear, nose & throat | Graft interposition for preventing Frey's syndrome in patients undergoing parotidectomy | Li Ye, Yubin Cao, Wenbin Yang, Fanglong Wu, Jie Lin, Longjiang Li, Chunjie Li | 3 October 2019

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD012941.pub2/full | Ear, nose & throat | Probiotics for preventing acute otitis media in children | Anna M Scott, Justin Clark, Blair Julien, Farhana Islam, Kristian Roos, Keith Grimwood, Paul Little, Chris B Del Mar | 18 June 2019

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD009219.pub5/full | Ear, nose & throat | Medical interventions for the prevention of platinum‐induced hearing loss in children with cancer | Jorrit W van As, Henk van den Berg, Elvira C van Dalen | 7 May 2019

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD004328.pub3/full | Ear, nose & throat | Tranexamic acid for patients with nasal haemorrhage (epistaxis) | Jonathan Joseph, Pablo Martinez‐Devesa, Jenny Bellorini, Martin J Burton | 31 December 2018

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD012173.pub2/full | Ear, nose & throat | Restriction of salt, caffeine and alcohol intake for the treatment of Ménière's disease or syndrome | Kiran Hussain, Louisa Murdin, Anne GM Schilder | 31 December 2018

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD013093.pub2/full | Ear, nose & throat | Betahistine for tinnitus | Inge Wegner, Deborah A Hall, Adriana Leni Smit, Don McFerran, Inge Stegeman | 28 December 2018

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD013094.pub2/full | Ear, nose & throat | Sound therapy (using amplification devices and/or sound generators) for tinnitus | Magdalena Sereda, Jun Xia, Amr El Refaie, Deborah A Hall, Derek J Hoare | 27 December 2018

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD006205.pub4/full | Ear, nose & throat | Interventions for the treatment of oral and oropharyngeal cancers: surgical treatment | Vishal M Bulsara, Helen V Worthington, Anne‐Marie Glenny, Janet E Clarkson, David I Conway, Michaelina Macluskey | 24 December 2018

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD012939.pub2/full | Ear, nose & throat | De‐intensified adjuvant (chemo)radiotherapy versus standard adjuvant chemoradiotherapy post transoral minimally invasive surgery for resectable HPV‐positive oropharyngeal carcinoma | James Howard, Raghav C Dwivedi, Liam Masterson, Prasad Kothari, Harry Quon, F. Christopher Holsinger | 14 December 2018

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD011988.pub2/full | Ear, nose & throat | Sinonasal debridement versus no debridement for the postoperative care of patients undergoing endoscopic sinus surgery | Sharon Tzelnick, Uri Alkan, Moshe Leshno, Peter Hwang, Ethan Soudry | 8 November 2018

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD006822.pub5/full | Ear, nose & throat | Heliox for croup in children | Irene Moraa, Nancy Sturman, Treasure M McGuire, Mieke L van Driel | 29 October 2018

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD013288.pub2/full | Effective practice & health systems | Specialised early intervention teams for recent‐onset psychosis | Stephen Puntis, Amedeo Minichino, Franco De Crescenzo, Rachael Harrison, Andrea Cipriani, Belinda Lennox | 2 November 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD013287.pub2/full | Effective practice & health systems | Specialised early intervention teams (extended time) for recent‐onset psychosis | Stephen Puntis, Amedeo Minichino, Franco De Crescenzo, Rachael Harrison, Andrea Cipriani, Belinda Lennox | 2 November 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD012907.pub2/full | Effective practice & health systems | Tracking health commodity inventory and notifying stock levels via mobile devices: a mixed methods systematic review | Smisha Agarwal, Claire Glenton, Nicholas Henschke, Tigest Tamrat, Hanna Bergman, Marita S Fønhus, Garrett L Mehl, Simon Lewin | 28 October 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD012575.pub2/full | Effective practice & health systems | Implementation interventions to promote the uptake of evidence‐based practices in stroke rehabilitation | Liana S Cahill, Leeanne M Carey, Natasha A Lannin, Megan Turville, Cheryl L Neilson, Elizabeth A Lynch, Carol E McKinstry, Jia Xi Han, Denise O'Connor | 15 October 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD012780.pub2/full | Effective practice & health systems | The effectiveness and cost‐effectiveness of hospital‐based specialist palliative care for adults with advanced illness and their caregivers | Sabrina Bajwah, Adejoke O Oluyase, Deokhee Yi, Wei Gao, Catherine J Evans, Gunn Grande, Chris Todd, Massimo Costantini, Fliss E Murtagh, Irene J Higginson | 30 September 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD012927.pub2/full | Effective practice & health systems | Mobile technologies to support healthcare provider to healthcare provider communication and management of care | Daniela C Gonçalves-Bradley, Ana Rita J Maria, Ignacio Ricci-Cabello, Gemma Villanueva, Marita S Fønhus, Claire Glenton, Simon Lewin, Nicholas Henschke, Brian S Buckley, Garrett L Mehl, Tigest Tamrat, Sasha Shepperd | 18 August 2020

